dataset;relative;absolute;naive_occurrences;deletion_occurrences;projection_occurrences;naive_size;deletion_size;projection_size;num;abs;perfect;reject_naive;reject_deletion;reject_projection;deletion_rate;projection_rate;naive_auc;deletion_auc;projection_auc
cmc.bin;0.3;442;1508352;226132;44671;14730;9838;16502;cmc.num;441;36146;0.976036098;0.840155308;0.190839695;0.667888663;1.12029871;0.048961416;0.04040109;0.008173234
cmc.bin;0.25;369;1508352;660880;64030;14730;12282;22135;cmc.num;368;55252;0.963369293;0.91639632;0.137091988;0.833808554;1.502715547;0.048485135;0.043913791;0.008198292
cmc.bin;0.2;295;1508352;1200000;110058;14730;14027;31982;cmc.num;294;79756;0.947123748;0.933536667;0.275327555;0.95227427;2.171215207;0.047762326;0.046248325;0.010310489
cmc.bin;0.15;221;1508352;1279360;188454;14730;14249;39901;cmc.num;220;119757;0.920604077;0.90639304;0.364529275;0.967345553;2.708825526;0.046693196;0.045998243;0.015996421
cmc.bin;0.1;148;1508352;1452544;457763;14730;14621;51742;cmc.num;147;200213;0.867263742;0.8621639;0.562627386;0.992600136;3.51269518;0.044696695;0.044213924;0.023178917
cmc.bin;0.05;74;1508352;1508352;1186530;14730;14730;63512;cmc.num;73;403350;0.732588945;0.732588945;0.660059164;1;4.311744739;0.058311041;0.058183545;0.047068643
connect.bin;1;67557;5.94E+17;67557;67557;2904951;0;0;connect.num;67557;67557;1;0;0;0;0;0;0;0
connect.bin;0.95;64180;5.94E+17;7.63E+09;4.26E+08;2.90E+06;1.13E+06;7.09E+06;connect.num;64179;143440194;1;0.981189502;0.663340339;0.388122898;2.441060107;0.05;0.024529738;0.016583508
connect.bin;0.90000004;60802;5.94E+17;1.04E+11;8.42E+09;2.90E+06;1.38E+06;1.14E+07;connect.num;60801;1688238048;0.999999997;0.983784619;0.799539299;0.473587334;3.921324663;0.05;0.049124353;0.036571991
connect.bin;0.85;57424;5.94E+17;1.28E+12;5.31E+10;2.90E+06;1.61E+06;1.60E+07;connect.num;57423;8450913112;0.999999986;0.993375065;0.840773456;0.555455152;5.514283718;0.05;0.049428992;0.041007819
connect.bin;0.8;54046;5.94E+17;7.40E+12;3.16E+11;2.90E+06;1.78E+06;1.96E+07;connect.num;54045;30173504856;0.999999949;0.995922496;0.904652565;0.612327712;6.7374028;0.049999998;0.049732439;0.043635651
connect.bin;0.75;50668;5.94E+17;2.17E+13;1.07E+12;2.90E+06;1.88E+06;2.27E+07;connect.num;50667;84951263120;0.999999857;0.99609286;0.920568277;0.648151724;7.818343235;0.049999995;0.049800384;0.045630521
connect.bin;0.7;47290;5.94E+17;3.55E+13;2.51E+12;2.90E+06;1.93E+06;2.47E+07;connect.num;47289;2.09007E+11;0.999999648;0.994113365;0.916675538;0.66471104;8.507973801;0.049999988;0.049755156;0.045931095
connect.bin;0.65000004;43913;5.94E+17;9.53E+13;6.49E+12;2.90E+06;2.02E+06;2.71E+07;connect.num;43912;4.63057E+11;0.999999221;0.995143101;0.92868637;0.696176631;9.324785513;0.049999972;0.049731412;0.046134048
connect.bin;0.6;40535;5.94E+17;3.35E+14;1.55E+13;2.90E+06;2.15E+06;2.99E+07;connect.num;40534;9.47495E+11;0.999998406;0.997169615;0.939044178;0.739348443;10.29216947;0.049999941;0.049807818;0.046693264
connect.bin;0.55;37157;5.94E+17;4.72E+14;2.90E+13;2.90E+06;2.19E+06;3.18E+07;connect.num;37156;1.82936E+12;0.999996922;0.996120303;0.936868891;0.752316304;10.94673542;0.049999883;0.049832248;0.046897827
connect.bin;0.5;33779;5.94E+17;6.52E+14;5.74E+13;2.90E+06;2.22E+06;3.34E+07;connect.num;33778;3.39088E+12;0.999994294;0.994799828;0.940899747;0.764077948;11.49486824;0.04999978;0.049773003;0.046944216
connect.bin;0.45000002;30401;5.94E+17;9.58E+14;1.23E+14;2.90E+06;2.25E+06;3.49E+07;connect.num;30400;6.10998E+12;0.999989718;0.993620416;0.950197129;0.775104985;12.01189831;0.0499996;0.049710506;0.047277422
connect.bin;0.4;27023;5.94E+17;1.67E+15;2.02E+14;2.90E+06;2.31E+06;3.67E+07;connect.num;27022;1.08579E+13;0.999981728;0.993507963;0.946290284;0.795327357;12.64651349;0.049999286;0.049678209;0.047412185
connect.bin;0.35;23645;5.94E+17;2.88E+15;3.64E+14;2.90E+06;2.36E+06;3.84E+07;connect.num;23644;1.90867E+13;0.99996788;0.993379016;0.947570867;0.812839184;13.2208502;0.04999874;0.049672174;0.047346529
connect.bin;0.3;20268;5.94E+17;5.33E+15;6.23E+14;2.90E+06;2.43E+06;4.02E+07;connect.num;20267;3.35391E+13;0.999943559;0.993708384;0.946139483;0.834989988;13.85135446;0.049997786;0.049677185;0.047342759
connect.bin;0.25;16890;5.94E+17;2.88E+16;1.01E+15;2.90E+06;2.58E+06;4.50E+07;connect.num;16889;5.962E+13;0.99989967;0.997928345;0.941151655;0.8878105;15.49318801;0.049996081;0.049790918;0.047182278
